Name	Role	Tons	Propulsion	Type
Henrietta (ship, 1861)	Blockade Operations	205	Sail	Schooner
USS Albermarle (1863)	Blockade Operations	200	Steam	Schooner
USS Ammonoosuc (1864)	Blockade Operations	9850	Steam	Frigate
USS Ben Morgan	Blockade Operations	407	Sail	Schooner
USS Brooklyn (1858)	Blockade Operations	2532	Steam, Sail	Sloop
USS Charlotte (1862)	Blockade Operations	70	Sail	Schooner
USS Chotank (1861)	Blockade Operations	53	Sail	Schooner
USS Colorado (1856)	Blockade Operations	3425	Steam	Frigate
USS Columbia (1836)	Blockade Operations	1726	Sail	Frigate
USS Columbus (1819)	Blockade Operations	2480	Sail	Ship of the Line
USS Conestoga (1862)	Blockade Operations	1335	Steam	Frigate
USS Congress (1841)	Blockade Operations	1867	Sail	Frigate
USS Constellation (1854)	Blockade Operations	1400	Sail	Sloop
USS Cumberland (1842)	Blockade Operations	1726	Sail	Frigate
USS Dale (1839)	Blockade Operations	566	Sail	Sloop
USS Dan Smith	Blockade Operations	150	Sail	Schooner
USS Delaware (1820)	Blockade Operations	2633	Sail	Ship of the Line
USS Falmouth (1827)	Blockade Operations	703	Sail	Sloop
USS Germantown (1846)	Blockade Operations	939	Sail	Sloop
USS Housatonic (1861)	Blockade Operations	1240	Steam, Sail	Sloop
USS Idaho (1864)	Blockade Operations	3241	Steam	Sloop
USS Ino	Blockade Operations	895	Sail	Clipper
USS Iroquois (1859)	Blockade Operations	1016	Steam	Mohican-class Sloop
USS John Adams (1799)	Blockade Operations	544	Sail	Frigate
USS John Griffith	Blockade Operations	240	Sail	Schooner
USS Juniata (1862)	Blockade Operations	1240	Steam	Sloop
USS Kearsarge (1861)	Blockade Operations	1550	Steam, Sail	Sloop
USS Lackawanna (1862)	Blockade Operations	1533	Steam	Sloop
USS Lancaster (1858)	Blockade Operations	2362	Steam	Sloop
USS Macedonian (1836)	Blockade Operations	1341	Sail	Frigate
USS Maria J. Carlton	Blockade Operations	178	Sail	Schooner
USS Marion (1839)	Blockade Operations	566	Sail	Sloop
USS Merrimack (1855)	Blockade Operations	3200	Steam, Sail	Frigate
USS Mohican (1859)	Blockade Operations	1461	Steam	Sloop
USS New Hampshire (1864)	Blockade Operations	2633	Sail	Ship of the Line
USS Ohio (1820)	Blockade Operations	2724	Sail	Ship of the Line
USS Pennsylvania (1837)	Blockade Operations	3241	Sail	Ship of the Line
USS Potomac (1822)	Blockade Operations	1726	Sail	Frigate
USS Preble (1839)	Blockade Operations	556	Sail	Sloop
USS Raritan (1843)	Blockade Operations	1726	Sail	Frigate
USS Renshaw (1862)	Blockade Operations	75	Sail	Schooner
USS Sabine (1855)	Blockade Operations	1726	Sail	Frigate
USS Saginaw (1859)	Blockade Operations	453	Steam	Sloop
USS San Jacinto (1850)	Blockade Operations	1567	Steam	Frigate
USS Saratoga (1842)	Blockade Operations	882	Sail	Sloop
USS Savannah (1842)	Blockade Operations	1726	Sail	Frigate
USS Shenandoah (1862)	Blockade Operations	1375	Steam	Sloop
USS St. Lawrence	Blockade Operations	1726	Sail	Frigate
USS St. Mary's (1844)	Blockade Operations	958	Sail	Sloop
USS Susquehanna (1850)	Blockade Operations	2450	Steam	Frigate
USS Ticonderoga (1862)	Blockade Operations	2526	Steam, Sail	Sloop
USS Tuscarora (1861)	Blockade Operations	1457	Steam, Sail	Sloop
USS United States (1797)	Blockade Operations	1576	Sail	Frigate
USS Vermont (1848)	Blockade Operations	2633	Sail	Ship of the Line
USS Vincennes (1826)	Blockade Operations	700	Sail	Sloop
USS Wampanoag (1864)	Blockade Operations	4215	Steam	Frigate
USS Wyoming (1859)	Blockade Operations	1457	Steam	Sloop
City-class ironclad	Gunboat	512	Steam	Gunboat
CSS Tennessee (1863)	Gunboat	1273	Steam	Ironclad Ram
USRC Forward (1842)	Gunboat	139	Sail	Cutter
USRC Harriet Lane	Gunboat	730	Steam	Cutter
USRC Jackson (1832)	Gunboat	112	Sail	Cutter
USRC Naugatuck	Gunboat	192	Steam	Tug
USS Aaron V. Brown	Gunboat	50	Sail	
USS Abeona	Gunboat	206	Steam	
USS Adela	Gunboat	585	Steam	
USS Adirondack (1862)	Gunboat	1240	Steam	
USS Adolph Hugel	Gunboat	269	Sail	
USS Advance (1862)	Gunboat	880	Steam	
USS Agawam (1863)	Gunboat	974	Steam	
USS Alabama (1850)	Gunboat	1261	Steam	
USS Albatross (1858)	Gunboat	378	Steam	
USS Albermarle (1865)	Gunboat	376	Steam	Ironclad Ram
USS Alert (1861)	Gunboat	90	Steam	
USS Alexandria (1862)	Gunboat	60	Steam	
USS Alfred Robb	Gunboat	86	Steam	
USS Allegheny (1847)	Gunboat	989	Steam	
USS Amanda	Gunboat	368	Sail	
USS Anacostia (1856)	Gunboat	217	Steam	
USS Anemone (1864)	Gunboat	156	Steam	
USS Annie	Gunboat	27	Sail	
USS Antelope (1861)	Gunboat	145	Steam	
USS Antona (1863)	Gunboat	549	Steam	
USS Argosy	Gunboat	219	Steam	
USS Ariel (1862)	Gunboat	20	Sail	
USS Aries (1863)	Gunboat	820	Steam	
USS Arletta	Gunboat	200	Sail	
USS Aroostook (1861)	Gunboat	691	Steam	
USS Arthur	Gunboat	554	Sail	
USS Ascutney	Gunboat	974	Steam	
USS Augusta (1853)	Gunboat	1310	Steam	
USS Augusta Dinsmore	Gunboat	834	Steam	
USS Avenger (1863)	Gunboat	410	Steam	
USS Azalea (1864)	Gunboat	176	Steam	
USS Bainbridge (1842)	Gunboat	259	Sail	
USS Banshee (1862)	Gunboat	273	Steam	
USS Baron DeKalb	Gunboat	512	Steam	
USS Bat	Gunboat	750	Steam	
USS Beauregard	Gunboat	101	Sail	
USS Benton	Gunboat	633	Steam	
USS Bienville	Gunboat	1558	Steam, Sail	
USS Black Hawk (1848)	Gunboat	902	Steam	
USS Bloomer	Gunboat	130	Steam	
USS Bohio (1856)	Gunboat	197	Sail	
USS Braziliera	Gunboat	541	Sail	
USS Breaker (1862)	Gunboat	None	Sail	
USS Brilliant (1862)	Gunboat	227	Steam	
USS Britannia	Gunboat	495	Steam	
USS C. P. Williams	Gunboat	210	Sail	
USS Cactus	Gunboat	176	Steam	
USS Cairo	Gunboat	512	Steam	
USS Calhoun (1851)	Gunboat	508	Steam	
USS Calypso (1863)	Gunboat	630	Steam	
USS Cambridge (1860)	Gunboat	868	Steam	
USS Camelia (1862)	Gunboat	198	Steam	
USS Canandaigua (1862)	Gunboat	1395	Steam, Sail	
USS Carnation (1863)	Gunboat	82	Steam	
USS Carondelet	Gunboat	512	Steam	
USS Carrabasset (1864)	Gunboat	202	Steam	
USS Cayuga (1861)	Gunboat	691	Steam	Unadilla-class gunboat
USS Ceres	Gunboat	150	Steam	
USS Champion (1859)	Gunboat	115	Steam	
USS Chenango (1863)	Gunboat	974	Steam	Gunboat
USS Cherokee (1859)	Gunboat	606	Steam	Gunboat
USS Chicopee (1863)	Gunboat	974	Steam	Gunboat
USS Chillicothe (1862)	Gunboat	395	Steam	Gunboat
USS Chippewa (1861)	Gunboat	691	Steam	Gunboat
USS Choctaw (1856)	Gunboat	1004	Steam	Union gunboat and ram
USS Chocura (1861)	Gunboat	691	Steam	Gunboat
USS Cimarron (1862)	Gunboat	860	Steam	Gunboat
USS Cincinnati (1861)	Gunboat	512	Steam	Gunboat
USS Clifton (1861)	Gunboat	892	Steam	Gunboat
USS Clover (1863)	Gunboat	129	Steam	Gunboat
USS Clyde (1863)	Gunboat	294	Steam	Gunboat
USS Cohasset (1860)	Gunboat	100	Steam	Gunboat
USS Collier	Gunboat	177	Steam	Gunboat
USS Colossus (1864)	Gunboat	183	Steam	Gunboat
USS Columbia (1862)	Gunboat	503	Steam	Gunboat
USS Commodore (1863)	Gunboat	80	Steam	Gunboat
USS Commodore Barney	Gunboat	512	Steam	Gunboat
USS Commodore Hull	Gunboat	376	Steam	Gunboat
USS Commodore Jones	Gunboat	542	Steam	Gunboat
USS Commodore McDonough	Gunboat	532	Steam	Gunboat
USS Commodore Morris	Gunboat	532	Steam	Gunboat
USS Commodore Perry	Gunboat	512	Steam	Gunboat
USS Commodore Read	Gunboat	650	Steam	Gunboat
USS Conemaugh (1862)	Gunboat	955	Steam	Gunboat
USS Conestoga (1861)	Gunboat	572	Steam	Gunboat
USS Connecticut (1861)	Gunboat	725	Steam	Gunboat
USS Cornubia (1858)	Gunboat	589	Steam	Gunboat
USS Corwin (1849)	Gunboat	330	Steam	Gunboat
USS Corypheus (1862)	Gunboat	82	Sail	Gunboat
USS Courier (1861)	Gunboat	556	Sail	Gunboat
USS Covington (1863)	Gunboat	224	Steam	Gunboat
USS Cowslip (1863)	Gunboat	220	Steam	Gunboat
USS Cricket	Gunboat	178	Steam	Gunboat
USS Crocus (1862)	Gunboat	122	Steam	Gunboat
USS Crusader (1858)	Gunboat	545	Steam	Gunboat
USS Curlew (1862)	Gunboat	196	Steam	Gunboat
USS Currituck (1843)	Gunboat	195	Steam	Gunboat
USS Dacotah	Gunboat	996	Steam, Sail	Gunboat
USS Dai Ching (1863)	Gunboat	520	Steam	Gunboat
USS Dart (1861)	Gunboat	94	Sail	Gunboat
USS De Soto (1859)	Gunboat	1675	Steam, Sail	Gunboat
USS Decatur (1839)	Gunboat	566	Sail	Gunboat
USS Delaware (1861)	Gunboat	350	Steam	Gunboat
USS Dolphin (1836)	Gunboat	224	Sail	Brig
USS Dragon	Gunboat	118	Steam	Gunboat
USS Dumbarton	Gunboat	636	Steam	Gunboat
USS E. B. Hale (1861)	Gunboat	220	Steam	Gunboat
USS Eastport (1862)	Gunboat	700	Steam	Gunboat
USS Elfin (1864)	Gunboat	192	Steam	Gunboat
USS Elk (1863)	Gunboat	162	Steam	Gunboat
USS Ella (1859)	Gunboat	230	Steam	Gunboat
USS Ellen (1853)	Gunboat	341	Steam	Gunboat
USS Ellis (1862)	Gunboat	100	Steam	Gunboat
USS Eolus (1864)	Gunboat	368	Steam	Gunboat
USS Essex (1856)	Gunboat	640	Steam	Gunboat
USS Estrella (1862)	Gunboat	576	Steam	Gunboat
USS Ethan Allen (1859)	Gunboat	556	Sail	Gunboat
