Link	Hyperlink
USS A. Houghton	https://en.wikipedia.org/wiki/USS_A._Houghton
USS A. J. View	https://en.wikipedia.org/wiki/USS_A._J._View
USS Aaron V. Brown	https://en.wikipedia.org/wiki/USS_Aaron_V._Brown
USS Abeona	https://en.wikipedia.org/wiki/USS_Abeona
USS Abraham	https://en.wikipedia.org/wiki/USS_Abraham
USS Acacia	https://en.wikipedia.org/wiki/USS_Acacia
USS Adela	https://en.wikipedia.org/wiki/USS_Adela
USS Adelaide	https://en.wikipedia.org/wiki/USS_Adelaide
USS Adirondack (1862)	https://en.wikipedia.org/wiki/USS_Adirondack_(1862)
USS Adolph Hugel	https://en.wikipedia.org/wiki/USS_Adolph_Hugel
USS Advance (1862)	https://en.wikipedia.org/wiki/USS_Advance_(1862)
USS Agamenticus	https://en.wikipedia.org/wiki/USS_Agamenticus
USS Agassiz	https://en.wikipedia.org/wiki/USS_Agassiz
USS Agawam (1863)	https://en.wikipedia.org/wiki/USS_Agawam_(1863)
USS Alabama (1850)	https://en.wikipedia.org/wiki/USS_Alabama_(1850)
USS Albatross (1858)	https://en.wikipedia.org/wiki/USS_Albatross_(1858)
USS Albemarle (1863)	https://en.wikipedia.org/wiki/USS_Albemarle_(1863)
USS Alert (1861)	https://en.wikipedia.org/wiki/USS_Alert_(1861)
USS Alexandria (1862)	https://en.wikipedia.org/wiki/USS_Alexandria_(1862)
USS Alfred Robb	https://en.wikipedia.org/wiki/USS_Alfred_Robb
USS Allegheny (1847)	https://en.wikipedia.org/wiki/USS_Allegheny_(1847)
USS Alligator (1862)	https://en.wikipedia.org/wiki/USS_Alligator_(1862)
USS Alonzo Child	https://en.wikipedia.org/wiki/USS_Alonzo_Child
USS Alpha (1864)	https://en.wikipedia.org/wiki/USS_Alpha_(1864)
USS Althea (1863)	https://en.wikipedia.org/wiki/USS_Althea_(1863)
USS Amanda	https://en.wikipedia.org/wiki/USS_Amanda
USS Amaranthus	https://en.wikipedia.org/wiki/USS_Amaranthus
USS Amazon	https://en.wikipedia.org/wiki/USS_Amazon
USS American (1861)	https://en.wikipedia.org/wiki/USS_American_(1861)
USS Ammonoosuc (1864)	https://en.wikipedia.org/wiki/USS_Ammonoosuc_(1864)
USS Anacostia (1856)	https://en.wikipedia.org/wiki/USS_Anacostia_(1856)
USS Anemone (1864)	https://en.wikipedia.org/wiki/USS_Anemone_(1864)
USS Annie	https://en.wikipedia.org/wiki/USS_Annie
USS Antelope (1861)	https://en.wikipedia.org/wiki/USS_Antelope_(1861)
USS Antietam (1869)	https://en.wikipedia.org/wiki/USS_Antietam_(1869)
USS Antona (1863)	https://en.wikipedia.org/wiki/USS_Antona_(1863)
USS Arethusa (1864)	https://en.wikipedia.org/wiki/USS_Arethusa_(1864)
USS Argosy	https://en.wikipedia.org/wiki/USS_Argosy
USS Ariel (1862)	https://en.wikipedia.org/wiki/USS_Ariel_(1862)
USS Aries (1863)	https://en.wikipedia.org/wiki/USS_Aries_(1863)
USS Arizona (1858)	https://en.wikipedia.org/wiki/USS_Arizona_(1858)
USS Arkansas (1863)	https://en.wikipedia.org/wiki/USS_Arkansas_(1863)
USS Arletta	https://en.wikipedia.org/wiki/USS_Arletta
USS Aroostook (1861)	https://en.wikipedia.org/wiki/USS_Aroostook_(1861)
USS Arthur	https://en.wikipedia.org/wiki/USS_Arthur
USS Ascutney	https://en.wikipedia.org/wiki/USS_Ascutney
USS Aster	https://en.wikipedia.org/wiki/USS_Aster
USS Augusta (1853)	https://en.wikipedia.org/wiki/USS_Augusta_(1853)
USS Augusta Dinsmore	https://en.wikipedia.org/wiki/USS_Augusta_Dinsmore
USS Avenger (1863)	https://en.wikipedia.org/wiki/USS_Avenger_(1863)
USS Azalea (1864)	https://en.wikipedia.org/wiki/USS_Azalea_(1864)
USS Bainbridge (1842)	https://en.wikipedia.org/wiki/USS_Bainbridge_(1842)
Balize (tug)	https://en.wikipedia.org/wiki/Balize_(tug)
USS Baltimore (1861)	https://en.wikipedia.org/wiki/USS_Baltimore_(1861)
USS Banshee (1862)	https://en.wikipedia.org/wiki/USS_Banshee_(1862)
USS Barataria (1862)	https://en.wikipedia.org/wiki/USS_Barataria_(1862)
USS Baron DeKalb	https://en.wikipedia.org/wiki/USS_Baron_DeKalb
USS Bat	https://en.wikipedia.org/wiki/USS_Bat
USS Bazely (1863)	https://en.wikipedia.org/wiki/USS_Bazely_(1863)
USS Beauregard	https://en.wikipedia.org/wiki/USS_Beauregard
USS Belle	https://en.wikipedia.org/wiki/USS_Belle
USS Belle Italia	https://en.wikipedia.org/wiki/USS_Belle_Italia
USS Ben Morgan	https://en.wikipedia.org/wiki/USS_Ben_Morgan
USS Benefit	https://en.wikipedia.org/wiki/USS_Benefit
USS Benton	https://en.wikipedia.org/wiki/USS_Benton
USS Berberry	https://en.wikipedia.org/wiki/USS_Berberry
USS Bermuda	https://en.wikipedia.org/wiki/USS_Bermuda
USS Bibb (1853)	https://en.wikipedia.org/wiki/USS_Bibb_(1853)
USS Bienville	https://en.wikipedia.org/wiki/USS_Bienville
USS Black Hawk (1848)	https://en.wikipedia.org/wiki/USS_Black_Hawk_(1848)
Black Terror (ship)	https://en.wikipedia.org/wiki/Black_Terror_(ship)
USS Bloomer	https://en.wikipedia.org/wiki/USS_Bloomer
USS Blue Light	https://en.wikipedia.org/wiki/USS_Blue_Light
USS Bohio (1856)	https://en.wikipedia.org/wiki/USS_Bohio_(1856)
USS Brandywine	https://en.wikipedia.org/wiki/USS_Brandywine
USS Braziliera	https://en.wikipedia.org/wiki/USS_Braziliera
USS Breaker (1862)	https://en.wikipedia.org/wiki/USS_Breaker_(1862)
USS Brilliant (1862)	https://en.wikipedia.org/wiki/USS_Brilliant_(1862)
USS Britannia	https://en.wikipedia.org/wiki/USS_Britannia
USS Brockenborough	https://en.wikipedia.org/wiki/USS_Brockenborough
USS Brooklyn (1858)	https://en.wikipedia.org/wiki/USS_Brooklyn_(1858)
USS Buckthorn (1863)	https://en.wikipedia.org/wiki/USS_Buckthorn_(1863)
USS C. P. Williams	https://en.wikipedia.org/wiki/USS_C._P._Williams
USS Cactus	https://en.wikipedia.org/wiki/USS_Cactus
USS Cairo	https://en.wikipedia.org/wiki/USS_Cairo
USS Calhoun (1851)	https://en.wikipedia.org/wiki/USS_Calhoun_(1851)
USS Calypso (1863)	https://en.wikipedia.org/wiki/USS_Calypso_(1863)
USS Cambridge (1860)	https://en.wikipedia.org/wiki/USS_Cambridge_(1860)
USS Camelia (1862)	https://en.wikipedia.org/wiki/USS_Camelia_(1862)
USS Canandaigua (1862)	https://en.wikipedia.org/wiki/USS_Canandaigua_(1862)
USS Canonicus (1863)	https://en.wikipedia.org/wiki/USS_Canonicus_(1863)
USS Carnation (1863)	https://en.wikipedia.org/wiki/USS_Carnation_(1863)
USS Carondelet	https://en.wikipedia.org/wiki/USS_Carondelet
USS Carrabasset (1864)	https://en.wikipedia.org/wiki/USS_Carrabasset_(1864)
USS Casco (1864)	https://en.wikipedia.org/wiki/USS_Casco_(1864)
USS Catalpa (1864)	https://en.wikipedia.org/wiki/USS_Catalpa_(1864)
USS Catawba (1864)	https://en.wikipedia.org/wiki/USS_Catawba_(1864)
USS Catskill (1862)	https://en.wikipedia.org/wiki/USS_Catskill_(1862)
USS Cayuga (1861)	https://en.wikipedia.org/wiki/USS_Cayuga_(1861)
USS Ceres	https://en.wikipedia.org/wiki/USS_Ceres
USS Champion (1859)	https://en.wikipedia.org/wiki/USS_Champion_(1859)
USS Charles Phelps	https://en.wikipedia.org/wiki/USS_Charles_Phelps
USS Charlotte (1862)	https://en.wikipedia.org/wiki/USS_Charlotte_(1862)
USS Chatham (1836)	https://en.wikipedia.org/wiki/USS_Chatham_(1836)
USS Chattanooga (1864)	https://en.wikipedia.org/wiki/USS_Chattanooga_(1864)
USS Chenango (1863)	https://en.wikipedia.org/wiki/USS_Chenango_(1863)
USS Cherokee (1859)	https://en.wikipedia.org/wiki/USS_Cherokee_(1859)
USS Chickasaw (1864)	https://en.wikipedia.org/wiki/USS_Chickasaw_(1864)
USS Chicopee (1863)	https://en.wikipedia.org/wiki/USS_Chicopee_(1863)
USS Chillicothe (1862)	https://en.wikipedia.org/wiki/USS_Chillicothe_(1862)
USS Chimo (1864)	https://en.wikipedia.org/wiki/USS_Chimo_(1864)
USS Chippewa (1861)	https://en.wikipedia.org/wiki/USS_Chippewa_(1861)
USS Choctaw (1856)	https://en.wikipedia.org/wiki/USS_Choctaw_(1856)
USS Chocura (1861)	https://en.wikipedia.org/wiki/USS_Chocura_(1861)
USS Chotank (1861)	https://en.wikipedia.org/wiki/USS_Chotank_(1861)
USS Cimarron (1862)	https://en.wikipedia.org/wiki/USS_Cimarron_(1862)
USS Cincinnati (1861)	https://en.wikipedia.org/wiki/USS_Cincinnati_(1861)
USS Circassian	https://en.wikipedia.org/wiki/USS_Circassian
City-class ironclad	https://en.wikipedia.org/wiki/City-class_ironclad
USS Clara Dolsen	https://en.wikipedia.org/wiki/USS_Clara_Dolsen
USS Clematis (1863)	https://en.wikipedia.org/wiki/USS_Clematis_(1863)
USS Clifton (1861)	https://en.wikipedia.org/wiki/USS_Clifton_(1861)
USS Clinton (1864)	https://en.wikipedia.org/wiki/USS_Clinton_(1864)
USS Clover (1863)	https://en.wikipedia.org/wiki/USS_Clover_(1863)
USS Clyde (1863)	https://en.wikipedia.org/wiki/USS_Clyde_(1863)
USS Coeur de Lion	https://en.wikipedia.org/wiki/USS_Coeur_de_Lion
USS Cohasset (1860)	https://en.wikipedia.org/wiki/USS_Cohasset_(1860)
USS Collier	https://en.wikipedia.org/wiki/USS_Collier
USS Colorado (1856)	https://en.wikipedia.org/wiki/USS_Colorado_(1856)
USS Colossus (1864)	https://en.wikipedia.org/wiki/USS_Colossus_(1864)
USS Columbia (1836)	https://en.wikipedia.org/wiki/USS_Columbia_(1836)
USS Columbia (1862)	https://en.wikipedia.org/wiki/USS_Columbia_(1862)
USS Columbia (1864)	https://en.wikipedia.org/wiki/USS_Columbia_(1864)
USS Columbine (1862)	https://en.wikipedia.org/wiki/USS_Columbine_(1862)
USS Columbus (1819)	https://en.wikipedia.org/wiki/USS_Columbus_(1819)
USS Commodore (1863)	https://en.wikipedia.org/wiki/USS_Commodore_(1863)
USS Commodore Barney	https://en.wikipedia.org/wiki/USS_Commodore_Barney
USS Commodore Hull	https://en.wikipedia.org/wiki/USS_Commodore_Hull
USS Commodore Jones	https://en.wikipedia.org/wiki/USS_Commodore_Jones
USS Commodore McDonough	https://en.wikipedia.org/wiki/USS_Commodore_McDonough
USS Commodore Morris	https://en.wikipedia.org/wiki/USS_Commodore_Morris
USS Commodore Perry	https://en.wikipedia.org/wiki/USS_Commodore_Perry
USS Commodore Read	https://en.wikipedia.org/wiki/USS_Commodore_Read
USS Conemaugh (1862)	https://en.wikipedia.org/wiki/USS_Conemaugh_(1862)
USS Conestoga (1862)	https://en.wikipedia.org/wiki/USS_Conestoga_(1862)
USS Conestoga (1861)	https://en.wikipedia.org/wiki/USS_Conestoga_(1861)
USS Congress (1841)	https://en.wikipedia.org/wiki/USS_Congress_(1841)
USS Connecticut (1861)	https://en.wikipedia.org/wiki/USS_Connecticut_(1861)
USS Constellation (1854)	https://en.wikipedia.org/wiki/USS_Constellation_(1854)
Corea (ship)	https://en.wikipedia.org/wiki/Corea_(ship)
USS Cornubia (1858)	https://en.wikipedia.org/wiki/USS_Cornubia_(1858)
USS Corwin (1849)	https://en.wikipedia.org/wiki/USS_Corwin_(1849)
USS Corypheus (1862)	https://en.wikipedia.org/wiki/USS_Corypheus_(1862)
USS Cossack (1861)	https://en.wikipedia.org/wiki/USS_Cossack_(1861)
USS Courier (1861)	https://en.wikipedia.org/wiki/USS_Courier_(1861)
USS Covington (1863)	https://en.wikipedia.org/wiki/USS_Covington_(1863)
USS Cowslip (1863)	https://en.wikipedia.org/wiki/USS_Cowslip_(1863)
USS Cricket	https://en.wikipedia.org/wiki/USS_Cricket
USS Crocus (1862)	https://en.wikipedia.org/wiki/USS_Crocus_(1862)
USS Crusader (1858)	https://en.wikipedia.org/wiki/USS_Crusader_(1858)
USS Cumberland (1842)	https://en.wikipedia.org/wiki/USS_Cumberland_(1842)
USS Curlew (1862)	https://en.wikipedia.org/wiki/USS_Curlew_(1862)
USS Currituck (1843)	https://en.wikipedia.org/wiki/USS_Currituck_(1843)
USS Dacotah	https://en.wikipedia.org/wiki/USS_Dacotah
USS Daffodil (1862)	https://en.wikipedia.org/wiki/USS_Daffodil_(1862)
USS Dahlia (1862)	https://en.wikipedia.org/wiki/USS_Dahlia_(1862)
USS Dai Ching (1863)	https://en.wikipedia.org/wiki/USS_Dai_Ching_(1863)
USS Daisy (1850)	https://en.wikipedia.org/wiki/USS_Daisy_(1850)
USS Dale (1839)	https://en.wikipedia.org/wiki/USS_Dale_(1839)
USS Dan Smith	https://en.wikipedia.org/wiki/USS_Dan_Smith
USS Dandelion (1862)	https://en.wikipedia.org/wiki/USS_Dandelion_(1862)
USS Darlington (1862)	https://en.wikipedia.org/wiki/USS_Darlington_(1862)
USS Dart (1861)	https://en.wikipedia.org/wiki/USS_Dart_(1861)
USS Dawn (1857)	https://en.wikipedia.org/wiki/USS_Dawn_(1857)
USS Daylight	https://en.wikipedia.org/wiki/USS_Daylight
USS De Soto (1859)	https://en.wikipedia.org/wiki/USS_De_Soto_(1859)
USS Decatur (1839)	https://en.wikipedia.org/wiki/USS_Decatur_(1839)
USS Delaware (1820)	https://en.wikipedia.org/wiki/USS_Delaware_(1820)
USS Delaware (1861)	https://en.wikipedia.org/wiki/USS_Delaware_(1861)
USS Delta (1864)	https://en.wikipedia.org/wiki/USS_Delta_(1864)
USS Diana	https://en.wikipedia.org/wiki/USS_Diana
USS Dolphin (1836)	https://en.wikipedia.org/wiki/USS_Dolphin_(1836)
USS Don	https://en.wikipedia.org/wiki/USS_Don
