,name,description,tonnage,propulsion
0,USS A. Houghton,Cargo ship of the United States Navy,,Sail
0,USS A. J. View,Collier of the United States Navy,, sail
0,USS Aaron V. Brown,Gunboat of the United States Navy,,sail
0,USS Adolph Hugel,Gunboat of the United States Navy,, sail
0,USS Agamenticus,"United States Navy ship, 1863",,2 shafts; 2 
0,USS Alabama (1850),Gunboat of the United States Navy,,steam
0,USS Albatross (1858),Gunboat of the United States Navy,,", screw-propelled"
0,USS Albemarle (1863),Screw steamer captured by the Union Navy during the American Civil War,, sail
0,USS Amanda,Gunboat of the United States Navy,,Sail
0,USS Amazon,M,,sail
0,USS Ammonoosuc (1864),M,, 
0,USS Anacostia (1856),Gunboat of the United States Navy,,", screw"
0,USS Annie,Gunboat of the United States Navy,,Sail
0,USS Antietam (1869),Cargo ship of the United States Navy,,sail and 
0,USS Ariel (1862),Gunboat of the United States Navy,,sail
0,USS Arizona (1858),Merchant steamship,,Steam sidewheel
0,USS Arletta,Gunboat of the United States Navy,, sail
0,USS Aroostook (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Aroostook (1861),Gunboat of the United States Navy,, 30-in 
2,USS Aroostook (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Aroostook (1861),Gunboat of the United States Navy,, horizontal 
4,USS Aroostook (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Arthur,Gunboat of the United States Navy,,sail
0,USS Bainbridge (1842),M,,Sails
0,USS Baron DeKalb,Gunboat of the United States Navy,," - Center Wheel, 2 horizontal HP engines (22"" X 6""), 5 boilers"
0,USS Beauregard,Gunboat of the United States Navy,,Sail
1,USS Beauregard,Gunboat of the United States Navy,,Sail
0,USS Belle Italia,Gunboat of the United States Navy,,sail
0,USS Ben Morgan,M,,Sail
0,USS Berberry,Tugboat of the United States Navy,,", screw"
0,USS Bienville,Gunboat of the United States Navy,,; auxiliary sails
0,USS Brandywine,Cargo ship of the United States Navy,,Frigate sail
0,USS Braziliera,Gunboat of the United States Navy,,Sail
0,USS Breaker (1862),Gunboat of the United States Navy,,sail
0,USS Brockenborough,US ship in its Civil War,,Sail
0,USS Brooklyn (1858),Sloops-of-war of the United States Navy,,steam engine screw-propelled as well as ship-rig sail
0,USS C. P. Williams,Gunboat of the United States Navy,,Sail
0,USS Canandaigua (1862),Gunboat of the United States Navy,,"Sail, with "
1,USS Canandaigua (1862),Gunboat of the United States Navy,, screw
0,USS Casco (1864),Torpedo boat of the United States Navy,,"Steam engine, twin screws"
0,USS Cayuga (1861),Unadilla-class gunboat,,2 × 200 
1,USS Cayuga (1861),Unadilla-class gunboat,, 30-in 
2,USS Cayuga (1861),Unadilla-class gunboat,, by 18 in 
3,USS Cayuga (1861),Unadilla-class gunboat,, horizontal 
4,USS Cayuga (1861),Unadilla-class gunboat,, engines; single screw
0,USS Ceres,Gunboat of the United States Navy,,", sidewheel-propelled"
0,USS Charlotte (1862),Union Navy schooner,,sail
0,USS Chimo (1864),Torpedo boat of the United States Navy,,Screw steamer
0,USS Chippewa (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Chippewa (1861),Gunboat of the United States Navy,, 30-in 
2,USS Chippewa (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Chippewa (1861),Gunboat of the United States Navy,, horizontal 
4,USS Chippewa (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Chocura (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Chocura (1861),Gunboat of the United States Navy,, 30-in 
2,USS Chocura (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Chocura (1861),Gunboat of the United States Navy,, horizontal 
4,USS Chocura (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Chotank (1861),M,,sail
0,City-class ironclad,Mississippi River gunboat of the Americans civil war,,22 ft (6.7 m) diameter paddle wheel
0,USS Columbia (1836),M,,Sail
0,USS Columbia (1864),M,,Steam engine
