,index,name,description,tonnage,propulsion
0,0.0,USS A. Houghton,Cargo ship of the United States Navy,,Sail
0,1.0,USS A. J. View,Collier of the United States Navy,, sail
0,2.0,USS Aaron V. Brown,Gunboat of the United States Navy,,sail
0,9.0,USS Adolph Hugel,Gunboat of the United States Navy,, sail
0,11.0,USS Agamenticus,"United States Navy ship, 1863",,2 shafts; 2 
0,14.0,USS Alabama (1850),Gunboat of the United States Navy,,steam
0,15.0,USS Albatross (1858),Gunboat of the United States Navy,,", screw-propelled"
0,16.0,USS Albemarle (1863),Screw steamer captured by the Union Navy during the American Civil War,, sail
0,25.0,USS Amanda,Gunboat of the United States Navy,,Sail
0,27.0,USS Amazon,M,,sail
0,29.0,USS Ammonoosuc (1864),M,, 
0,30.0,USS Anacostia (1856),Gunboat of the United States Navy,,", screw"
0,32.0,USS Annie,Gunboat of the United States Navy,,Sail
0,34.0,USS Antietam (1869),Cargo ship of the United States Navy,,sail and 
0,38.0,USS Ariel (1862),Gunboat of the United States Navy,,sail
0,40.0,USS Arizona (1858),Merchant steamship,,Steam sidewheel
0,42.0,USS Arletta,Gunboat of the United States Navy,, sail
0,43.0,USS Aroostook (1861),Gunboat of the United States Navy,,2 × 200 
1,43.0,USS Aroostook (1861),Gunboat of the United States Navy,, 30-in 
2,43.0,USS Aroostook (1861),Gunboat of the United States Navy,, by 18 in 
3,43.0,USS Aroostook (1861),Gunboat of the United States Navy,, horizontal 
4,43.0,USS Aroostook (1861),Gunboat of the United States Navy,, engines; single screw
0,44.0,USS Arthur,Gunboat of the United States Navy,,sail
0,51.0,USS Bainbridge (1842),M,,Sails
0,56.0,USS Baron DeKalb,Gunboat of the United States Navy,," - Center Wheel, 2 horizontal HP engines (22"" X 6""), 5 boilers"
0,59.0,USS Beauregard,Gunboat of the United States Navy,,Sail
1,59.0,USS Beauregard,Gunboat of the United States Navy,,Sail
0,61.0,USS Belle Italia,Gunboat of the United States Navy,,sail
0,62.0,USS Ben Morgan,M,,Sail
0,65.0,USS Berberry,Tugboat of the United States Navy,,", screw"
0,68.0,USS Bienville,Gunboat of the United States Navy,,; auxiliary sails
0,74.0,USS Brandywine,Cargo ship of the United States Navy,,Frigate sail
0,75.0,USS Braziliera,Gunboat of the United States Navy,,Sail
0,76.0,USS Breaker (1862),Gunboat of the United States Navy,,sail
0,79.0,USS Brockenborough,US ship in its Civil War,,Sail
0,80.0,USS Brooklyn (1858),Sloops-of-war of the United States Navy,,steam engine screw-propelled as well as ship-rig sail
0,82.0,USS C. P. Williams,Gunboat of the United States Navy,,Sail
0,89.0,USS Canandaigua (1862),Gunboat of the United States Navy,,"Sail, with "
1,89.0,USS Canandaigua (1862),Gunboat of the United States Navy,, screw
0,94.0,USS Casco (1864),Torpedo boat of the United States Navy,,"Steam engine, twin screws"
0,98.0,USS Cayuga (1861),Unadilla-class gunboat,,2 × 200 
1,98.0,USS Cayuga (1861),Unadilla-class gunboat,, 30-in 
2,98.0,USS Cayuga (1861),Unadilla-class gunboat,, by 18 in 
3,98.0,USS Cayuga (1861),Unadilla-class gunboat,, horizontal 
4,98.0,USS Cayuga (1861),Unadilla-class gunboat,, engines; single screw
0,99.0,USS Ceres,Gunboat of the United States Navy,,", sidewheel-propelled"
0,102.0,USS Charlotte (1862),Union Navy schooner,,sail
0,110.0,USS Chimo (1864),Torpedo boat of the United States Navy,,Screw steamer
0,111.0,USS Chippewa (1861),Gunboat of the United States Navy,,2 × 200 
1,111.0,USS Chippewa (1861),Gunboat of the United States Navy,, 30-in 
2,111.0,USS Chippewa (1861),Gunboat of the United States Navy,, by 18 in 
3,111.0,USS Chippewa (1861),Gunboat of the United States Navy,, horizontal 
4,111.0,USS Chippewa (1861),Gunboat of the United States Navy,, engines; single screw
0,113.0,USS Chocura (1861),Gunboat of the United States Navy,,2 × 200 
1,113.0,USS Chocura (1861),Gunboat of the United States Navy,, 30-in 
2,113.0,USS Chocura (1861),Gunboat of the United States Navy,, by 18 in 
3,113.0,USS Chocura (1861),Gunboat of the United States Navy,, horizontal 
4,113.0,USS Chocura (1861),Gunboat of the United States Navy,, engines; single screw
0,114.0,USS Chotank (1861),M,,sail
0,118.0,City-class ironclad,Mississippi River gunboat of the Americans civil war,,22 ft (6.7 m) diameter paddle wheel
0,130.0,USS Columbia (1836),M,,Sail
0,132.0,USS Columbia (1864),M,,Steam engine
0,145.0,USS Conestoga (1861),Boat converted by the navy into 572-ton river gunboat,,Stern Wheel Paddle steamer
0,146.0,USS Congress (1841),M,,Sails
0,148.0,USS Constellation (1854),Last sail-only warship designed and built by the United States Navy,,Sail
0,152.0,USS Corypheus (1862),Gunboat of the United States Navy,,sail
0,154.0,USS Courier (1861),Gunboat of the United States Navy,,not known
0,161.0,USS Curlew (1862),Gunboat of the United States Navy,,2x 
0,162.0,USS Currituck (1843),Gunboat of the United States Navy,,", screw"
0,163.0,USS Dacotah,Gunboat of the United States Navy,,"Sail, with "
1,163.0,USS Dacotah,Gunboat of the United States Navy,, backup
0,164.0,USS Daffodil (1862),M,,Steam
0,165.0,USS Dahlia (1862),American Civil War-era tugboat,,", paddle-wheel driven"
0,167.0,USS Daisy (1850),Tugboat of the United States Navy,,", screw-propelled"
0,168.0,USS Dale (1839),Sloops-of-war of the United States Navy,,Sail
0,169.0,USS Dan Smith,M,,sail
0,172.0,USS Dart (1861),Gunboat of the United States Navy,,sail
0,176.0,USS Decatur (1839),Gunboat of the United States Navy,,sail
0,177.0,USS Delaware (1820),74-gun ship of the line,,Sail
0,181.0,USS Dolphin (1836),M,,Sail
0,190.0,USS Ella (1859),Gunboat of the United States Navy,,Sidewheels
0,192.0,USS Ellis (1862),M,,propellor
0,196.0,USS Eolus (1864),Gunboat of the United States Navy,,Sidewheel steamer
0,198.0,Era No. 5,M,,Stern wheel steamer
0,201.0,USS Ethan Allen (1859),Gunboat of the United States Navy,,sail
0,202.0,USS Eugenie,Tender of the United States Navy,,sail
0,207.0,USS Fairplay (1859),M,,Side-wheel steamer
0,209.0,USS Falmouth (1827),Sloops-of-war of the United States Navy,,Sail
0,213.0,USS Fernandina,Gunboat of the United States Navy,,sail
0,217.0,USS Flusser (1864),Cargo ship of the United States Navy,,Sail
0,219.0,USS Fort Donelson,M,,Steam engine
0,220.0,USS Fort Henry,Gunboat of the United States Navy,,; sidewheels
0,224.0,USRC Forward (1842),Revenue cutter of the United States,,Sail.
0,225.0,USS Fox (1859),Gunboat of the United States Navy,,sail
0,227.0,USS Fredonia,Cargo ship of the United States Navy,,sail
0,229.0,USS Fulton (1837),Gunboat of the United States Navy,,", side wheel"
0,230.0,USS G. L. Brockenborough,Gunboat of the United States Navy,,sail
0,231.0,USS G. W. Blunt (1856),Gunboat of the United States Navy,,schooner sail
0,235.0,USS Garland (1815),Ship of the Union Navy during the American Civil War,,sail
0,237.0,USS Gem of the Sea,Gunboat of the United States Navy,,sail
0,238.0,USS Gemsbok (1861),Gunboat of the United States Navy,,sail
0,239.0,USS General Bragg,Gunboat of the United States Navy,,", side-wheel propelled"
0,244.0,USS General Price,M,,steam engine
0,248.0,USS Genesee (1862),Gunboat of the United States Navy,,"Inclined, Direct Acting Steam Engine built by Neptune Iron Works side-wheel steamer - Double-ender"
0,249.0,USS George Mangham,Gunboat of the United States Navy,,schooner sail
0,250.0,George W. Blunt (1856),Pilot boat,,sails
1,250.0,George W. Blunt (1856),Pilot boat,,sails
0,251.0,USS George W. Rodgers,Gunboat of the United States Navy,,schooner sail
0,252.0,USS George Washington Parke Custis (1861),M,,none
0,254.0,USS Germantown (1846),Sloops-of-war of the United States Navy,,Sails
0,256.0,USS Gettysburg (1858),M,,Side Lever Engine driving twin Paddles
0,260.0,USS Glaucus,Gunboat of the United States Navy,,"Single screw, auxiliary sails"
0,262.0,USS Glide (1863),Gunboat of the United States Navy,,Steam
0,266.0,USS Granite (1862),Gunboat of the United States Navy,,sail
0,272.0,USRC Harriet Lane,Revenue cutter of the United States,,A double-right-angled marine engine with two side paddles
0,273.0,USS Hartford (1858),Gunboat of the United States Navy,, and Sails
0,280.0,"Henrietta (ship, 1861)", Schooner Yacht,, sail
0,291.0,USS Hope (1861),Yacht used as a US dispatch boat and pilot boat,, sail
0,292.0,USS Horace Beals,Cargo ship of the United States Navy,,sail
0,294.0,USS Housatonic (1861),Sloops-of-war of the United States Navy,,Sail and steam
0,298.0,USS Hunchback,Gunboat of the United States Navy,,1 × 40 inch 
1,298.0,USS Hunchback,Gunboat of the United States Navy,,", 8-foot "
2,298.0,USS Hunchback,Gunboat of the United States Navy,, 
3,298.0,USS Hunchback,Gunboat of the United States Navy,, 
4,298.0,USS Hunchback,Gunboat of the United States Navy,,; 
0,301.0,USS Huron (1861),Gunboat of the United States Navy,,2 × 200 
1,301.0,USS Huron (1861),Gunboat of the United States Navy,, 30-in 
2,301.0,USS Huron (1861),Gunboat of the United States Navy,, by 18 in 
3,301.0,USS Huron (1861),Gunboat of the United States Navy,, horizontal 
4,301.0,USS Huron (1861),Gunboat of the United States Navy,, engines; single screw
0,307.0,USS Idaho (1864),Sloops-of-war of the United States Navy,,", with twin screws"
0,308.0,USS Indianola,American casemate ironclad,,"Sidewheel, Steam-driven screw"
0,313.0,USS Iroquois (1859),War ship,,steam
0,314.0,USS Isaac N. Seymour,M,,Sidewheels
0,319.0,USS Itasca (1861),Gunboat of the United States Navy,,2 × 200 
1,319.0,USS Itasca (1861),Gunboat of the United States Navy,, 30-in 
2,319.0,USS Itasca (1861),Gunboat of the United States Navy,, by 18 in 
3,319.0,USS Itasca (1861),Gunboat of the United States Navy,, horizontal 
4,319.0,USS Itasca (1861),Gunboat of the United States Navy,, engines; single screw
0,322.0,USS J. C. Kuhn,Cargo ship of the United States Navy,,sail
0,323.0,USS J. W. Wilder,Tender of the United States Navy,,sail
0,324.0,USRC Jackson (1832),M,,wind
0,325.0,USS Jacob Bell (1842),Gunboat of the United States Navy,,", side wheel-propelled"
0,327.0,USS James L. Davis,Gunboat of the United States Navy,,sail
0,328.0,USS James S. Chambers,Gunboat of the United States Navy,,sail
0,332.0,USS John Adams (1799),M,,sail
0,333.0,USS John Griffith,Mortar schooner acquired by the Union Navy,,sail
0,335.0,USS John P. Jackson (1860),Gunboat of the United States Navy,,", side wheel-propelled"
0,338.0,USS Julia (1863),Tender of the United States Navy,,sail
0,343.0,USS Kanawha (1861),Gunboat of the United States Navy,,2 × 200 
1,343.0,USS Kanawha (1861),Gunboat of the United States Navy,, 30-in 
2,343.0,USS Kanawha (1861),Gunboat of the United States Navy,, by 18 in 
3,343.0,USS Kanawha (1861),Gunboat of the United States Navy,, horizontal 
4,343.0,USS Kanawha (1861),Gunboat of the United States Navy,, engines; single screw
0,344.0,USS Kansas (1863),Gunboat of the United States Navy,,", screw propelled"
0,345.0,USS Katahdin (1861),Gunboat of the United States Navy,,2 × 200 
1,345.0,USS Katahdin (1861),Gunboat of the United States Navy,, 30-in 
2,345.0,USS Katahdin (1861),Gunboat of the United States Navy,, by 18 in 
3,345.0,USS Katahdin (1861),Gunboat of the United States Navy,, horizontal 
