,ix,name,description,propulsion
0,,USS A. Houghton,Cargo ship of the United States Navy,
0,,USS A. J. View,Collier of the United States Navy,Schooner
0,,USS Aaron V. Brown,Gunboat of the United States Navy,
0,,USS Abeona,Gunboat of the United States Navy,Steam engine
0,,USS Abraham,Side-wheel steamer,  Steam engine   side-wheel propelled  
0,,USS Acacia,Tugboat of the United States Navy,Steam engine
0,,USS Adela,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Adelaide,M,  steam engine   side wheel-propelled  
0,,USS Adirondack (1862),Gunboat during the American Civil War that sank off the Bahamas,"  2 × 42 in (110 cm) cylinder, 30 in (76 cm) stroke horizontal back-acting  steam engines   2 × Martin's patent boilers; [1]   1 × 14 ft 3 in (4.34 m) screw  propeller [1]  "
0,,USS Adolph Hugel,Gunboat of the United States Navy,Schooner
0,,USS Advance (1862),Gunboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS Agamenticus,"United States Navy ship, 1863",vibrating-lever steam engines
0,,USS Agassiz,Gunboat of the United States Navy,
0,,USS Agawam (1863),"Double-ended, side-wheel gunboat of the United States Navy",  Steam engine   side wheel-propelled  
0,,USS Alabama (1850),Gunboat of the United States Navy,
0,,USS Albatross (1858),Gunboat of the United States Navy,steam engine
0,,USS Albemarle (1863),Screw steamer captured by the Union Navy during the American Civil War,schooner
0,,USS Alert (1861),Gunboat of the United States Navy,  Steam engine   screw-propelled  
0,,USS Alexandria (1862),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Alfred Robb,Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Allegheny (1847),Gunboat of the United States Navy,  Steam engine   dual horizontal wheel-propelled (converted to single screw ca. 1852)  
0,,USS Alligator (1862),Submarine of the United States,  1862: 18 × hand-powered oars   1863: Hand-cranked propeller  
0,,USS Alonzo Child,M,  Steam engine   side wheel-propelled  
0,,USS Alpha (1864),Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Althea (1863),Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Amanda,Gunboat of the United States Navy,
0,,USS Amaranthus,Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Amazon,M,
0,,USS American (1861),M,
0,,USS Ammonoosuc (1864),M,Morgan Iron Works steam engines
0,,USS Anacostia (1856),Gunboat of the United States Navy,steam engine
0,,USS Anemone (1864),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Annie,Gunboat of the United States Navy,
0,,USS Antelope (1861),Gunboat of the United States Navy,  steam engine ;   stern paddle wheel  
0,,USS Antietam (1869),Cargo ship of the United States Navy,steam engine
0,,USS Antona (1863),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Arethusa (1864),Collier of the United States Navy,  steam engine   screw-propelled  
0,,USS Argosy,Gunboat of the United States Navy,  Steam engine   Stern wheel-propelled  
0,,USS Ariel (1862),Gunboat of the United States Navy,
0,,USS Aries (1863),Gunboat of the United States Navy,  Steam engine   Screw-propelled  
0,,USS Arizona (1858),Merchant steamship,
0,,USS Arkansas (1863),Cargo ship of the United States Navy,  steam engine   screw-propelled   barkentine-rigged  
0,,USS Arletta,Gunboat of the United States Navy,schooner
0,,USS Aroostook (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Arthur,Gunboat of the United States Navy,
0,,USS Ascutney,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Aster,American Civil War tugboat,  steam engine   screw-propelled  
0,,USS Augusta (1853),Gunboat of the United States Navy,  Steam engine   side paddle wheels  
0,,USS Augusta Dinsmore,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Avenger (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Azalea (1864),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Bainbridge (1842),M,
0,,Balize (tug),M,Steeple engine   Steam engine   screw-propelled  
0,,USS Baltimore (1861),M,
0,,USS Banshee (1862),Gunboat of the United States Navy,"  steam engine ,   side-wheel propelled  "
0,,USS Barataria (1862),Steamer captured by the Union Army during the American Civil War,  steam engine   stern wheel-propelled  
0,,USS Baron DeKalb,Gunboat of the United States Navy,steam engine
0,,USS Bat,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
